Word,Definition,Example,Synonym,Antonym
abate,(of something unpleasant or severe) become less intense or widespread.,"‘thankfully, the storm had abated’",", die away, die down, die out, drop away, drop off, lessen, ease, ease off, let up, decrease, diminish, moderate, decline, fade, dwindle, slacken, recede, cool off, tail off, peter out, taper off, wane, ebb, relent, desist, weaken, become weaker, come to an end",intensify
aberrant,Departing from an accepted standard.,‘Mrs Casper seems to be responsible for Billy's aberrant behaviour’,", deviating, divergent, abnormal, atypical, anomalous, digressive, irregular","normal, typical"
abeyance,A state of temporary disuse or suspension.,‘the project was left in abeyance for the time being’,", a state of suspension, a state of dormancy, a state of latency, a state of uncertainty, suspense, remission, reserve","in hand, under way, continuing"
abscond,"Leave hurriedly and secretly, typically to escape from custody or avoid arrest.",‘he had absconded from a Borstal’,", escape, bolt, clear out, flee, make off, take flight, take off, fly, decamp",
abstemious,"Indulging only very moderately in something, especially food and drink.","‘he seems to have led an abstemious, not to say ascetic life’",", abstinent, austere, moderate, self-disciplined, self-denying, restrained, self-restrained, non-indulgent, sober, ascetic, puritanical, spartan, strict, severe, self-abnegating, hair-shirt","self-indulgent, intemperate"
admonish,Reprimand firmly.,‘he was severely admonished by his father’,", rebuke, scold, reprove, upbraid, chastise, chide, censure, castigate, lambaste, berate, reproach, lecture, criticize, take to task, pull up, read the Riot Act to, give a piece of one's mind to, haul over the coals",praise
adulterate,Render (something) poorer in quality by adding another substance.,‘the brewer was accused of adulterating his beer’,", degrade, debase, spoil, taint, defile, contaminate, pollute, foul, sully",refine
aesthetic,Concerned with beauty or the appreciation of beauty.,‘the law applies to both functional and aesthetic objects’,", ornamental, graceful, elegant, exquisite, beautiful, attractive, pleasing, lovely, stylish, artistic, tasteful, in good taste",
aggregate,A whole formed by combining several separate elements.,‘the specimen is an aggregate of rock and mineral fragments’,", mass, cluster, lump, clump, pile, heap, bundle, quantity",
alacrity,Brisk and cheerful readiness.,‘she accepted with alacrity’,", willingness, readiness",apathy
alleviate,"Make (suffering, deficiency, or a problem) less severe.","‘he couldn't prevent her pain, only alleviate it’",", ease, relieve, take the edge off, deaden, dull, diminish, lessen, weaken, lighten, attenuate, allay, assuage, palliate, damp, soothe, help, soften, temper, control, still, quell, quieten, quiet, tone down, blunt, dilute, moderate, mitigate, modify, abate, lull, pacify, placate, mollify, sweeten",aggravate
amalgamate,Combine or unite to form one organization or structure.,‘the two departments were amalgamated’,", merge, unite, integrate, fuse, blend, mingle, coalesce, consolidate, meld, intermingle, mix, intermix, incorporate, affiliate",separate
ambiguous,Open to more than one interpretation; not having one obvious meaning.,‘the judge agreed that the law was ambiguous’,", ambivalent, open to debate, open to argument, arguable, debatable","unambiguous, clear"
ambivalence,The state of having mixed feelings or contradictory ideas about something or someone.,‘there is ambivalence over whether cars should be encouraged into the countryside’,", uncertainty, unsureness, doubt, indecision, inconclusiveness, irresolution, irresoluteness, hesitation, hesitancy, fluctuation, vacillation, shilly-shallying, tentativeness","certainty, decisiveness"
ameliorate,Make (something bad or unsatisfactory) better.,‘any move that ameliorates the situation is welcome’,", make better, better, make improvements to, enhance, help, benefit, boost, raise, amend, refine, reform","worsen, leave alone"
anachronism,"A thing belonging or appropriate to a period other than that in which it exists, especially a thing that is conspicuously old-fashioned.",,,
analogous,"Comparable in certain respects, typically in a way which makes clearer the nature of the things compared.",‘sport is in some ways analogous to life’,", parallel, similar, like, corresponding, related, kindred, matching, cognate, equivalent, symmetrical, homologous","dissimilar, unrelated"
anarchy,A state of disorder due to absence or non-recognition of authority or other controlling systems.,‘the country is threatened with anarchy’,", absence of government, nihilism, mobocracy, revolution, insurrection, riot, rebellion, mutiny, disorder, disorganization, misrule, chaos, tumult, turmoil, mayhem, pandemonium","government, order"
anomalous,"Deviating from what is standard, normal, or expected.",‘nuclear weapons testing may have been responsible for the anomalous weather conditions’,", atypical, non-typical, irregular, aberrant, exceptional, freak, freakish, odd, bizarre, peculiar, unusual, out of the ordinary, inconsistent, incongruous, deviant, deviating, divergent, eccentric","normal, typical, regular"
antipathy,A deep-seated feeling of aversion.,‘she felt a violent antipathy to Emily’,", antagonism, animosity, aversion, animus, opposition, enmity, dislike, distaste, ill will, ill feeling, hatred, hate, abhorrence, loathing, repugnance, odium","liking, affinity, rapport"
apathy,"Lack of interest, enthusiasm, or concern.",‘there were reports of widespread apathy amongst the electorate’,", lack of interest, lack of enthusiasm, lack of concern, unconcern, uninterestedness, unresponsiveness, impassivity, passivity, passiveness, detachment, dispassion, dispassionateness, lack of involvement, phlegm, coolness","enthusiasm, interest, passion"
appease,Pacify or placate (someone) by acceding to their demands.,‘his action was seen as an attempt to appease critics of his regime’,", placate, pacify, make peace with, propitiate, palliate, allay, reconcile, win over","provoke, inflame"
apprise,Inform or tell (someone),‘he continued to keep them apprised of all that was going on in Salzburg’,", notify, tell, let know, advise, brief, intimate, make aware of, send word to, update, keep posted, keep up to date, keep up to speed, enlighten",
